ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,-0.020617959756002995,144.742,0.283325,-0.00576305,3.58344,3.63477,3.80402,4.12024,4.6463,5.51517,7.03807,10.1089,18.5168,63.6505,49.7344,19.9032,13.176,10.1284,8.4488,7.4472,6.84778,6.5235,6.41669
1.0,0.0,-0.006756973474488142,153.37,0.409437,-0.0200736,3.5441,3.58669,3.74734,4.05435,4.57139,5.43711,6.99297,10.3612,25.3331,63.5732,36.627,23.1243,16.6395,13.1488,11.0912,9.82222,9.04518,8.61385,8.45828
1.0,0.0,0.008353254060864313,156.137,0.4151,0.0182509,3.50999,3.57686,3.76529,4.10966,4.6856,5.66147,7.47708,11.7921,52.8015,91.2203,31.8582,21.033,15.6198,12.5962,10.775,9.643,8.95564,8.59097,8.49196
1.0,0.0,-0.007603612253896657,266.747,0.603123,-0.0118454,5.95358,6.03409,6.31448,6.84467,7.73571,9.23081,11.9359,17.8891,47.3678,178.54,90.1706,60.6809,45.264,36.4362,31.0569,27.6806,25.5975,24.4454,24.0484
1.0,0.0,-0.3720245486991422,104.319,-0.809407,0.00300342,10.8565,11.0008,11.4402,12.2262,13.4575,15.3418,18.3318,23.2553,31.8123,47.143,72.5912,3.62788,2.35145,1.79988,1.5002,1.32281,1.2173,1.16096,1.14357
1.0,0.0,0.010474750984646288,136.93,-0.518369,0.0302046,9.11418,9.29512,9.77068,10.6163,11.9863,14.1884,17.8713,24.5206,37.6363,63.1058,18.931,8.24304,5.61439,4.38586,3.69921,3.28873,3.04582,2.92064,2.89111
1.0,0.0,0.0026181768562122264,118.447,-0.583975,0.0298112,7.92319,8.07806,8.48546,9.20823,10.3741,12.2334,15.2993,20.6912,31.2049,151.698,13.8626,5.95187,4.04715,3.1596,2.66408,2.368,2.1928,2.10247,2.08107
1.0,0.0,-0.005071330679105533,141.25,0.447787,-0.0189216,3.31389,3.35446,3.50577,3.7946,4.28121,5.09754,6.57109,9.80163,28.8146,56.6018,35.2096,23.0928,16.8638,13.4117,11.3494,10.0688,9.28214,8.84503,8.68822
1.0,0.0,0.011862782812331557,167.103,-0.443166,0.0694969,8.67941,8.91623,9.4529,10.381,11.8894,14.3712,18.7285,27.3376,46.7133,82.6364,15.3064,8.45193,6.04795,4.83828,4.142,3.72241,3.47745,3.35974,3.34918
1.0,0.0,-0.0035039925735890877,286.989,0.147738,0.00517607,12.7841,12.9932,13.6302,14.806,16.7612,20.012,25.7995,37.9174,75.8472,200.0,96.3173,49.6313,34.1267,26.6196,22.3771,19.8204,18.2868,17.466,17.2163
0.0,1.0,0.017907928680045017,131.873,-0.2144,0.281957,7.55112,8.01225,8.77254,9.95343,11.7746,14.6322,19.2083,26.4637,37.0903,50.623,14.1108,8.78211,6.82298,5.79139,5.19822,4.86758,4.72517,4.74334,4.92549
1.0,0.0,-0.003781043419471075,94.0358,0.375949,-0.0152767,3.12062,3.16025,3.30253,3.57187,4.02212,4.76801,6.08034,8.75652,16.538,168.405,43.3824,20.9988,14.1351,10.9027,9.09856,8.01568,7.36307,7.00556,6.88055
1.0,0.0,-0.009837091611198563,139.457,0.175621,-0.135648,4.99332,4.9501,5.06413,5.35477,5.87706,6.75152,8.25443,11.1544,18.9649,86.7392,46.268,25.9211,17.0464,12.7011,10.2858,8.83372,7.93455,7.39423,7.11685
1.0,0.0,0.006222977257952955,155.051,-0.270332,0.0316795,7.62582,7.78697,8.20992,8.96965,10.2267,12.3293,16.1374,24.4228,53.5372,138.22,21.3818,11.7811,8.30459,6.5664,5.56985,4.96695,4.60817,4.42306,4.38021
1.0,0.0,-0.004143564457373152,152.617,0.46048,0.00347597,3.23715,3.28973,3.45216,3.75341,4.2573,5.10379,6.64426,10.0809,29.2582,61.8119,35.5112,22.7987,16.6364,13.2757,11.2788,10.0448,9.29401,8.88838,8.76291
1.0,0.0,-0.37048446015613534,74.962,-0.719678,0.114854,10.3668,10.6321,11.1491,11.9646,13.1807,14.9371,17.4795,21.1905,26.6988,35.0007,50.2129,4.52777,3.02971,2.39333,2.04684,1.84514,1.73261,1.68514,1.69388
1.0,0.0,7.253258159988008E-5,134.516,-0.00603027,-3.30459E-6,5.03015,5.10775,5.35297,5.80831,6.56638,7.8255,10.0602,14.707,28.9669,121.841,28.6208,14.531,9.93975,7.73174,6.48769,5.7387,5.28881,5.04652,4.96985
1.0,0.0,0.02799480777084144,154.976,0.272156,0.0392984,4.37048,4.46997,4.72275,5.17502,5.92647,7.19879,9.56833,15.1466,63.0875,69.3755,31.0969,19.1916,13.9942,11.2295,9.60087,8.60288,8.00681,7.70193,7.63873
0.0,1.0,-0.008978651304642576,119.965,-0.272483,0.0345323,7.63892,7.78462,8.15708,8.8063,9.82879,11.3988,13.8277,17.6583,27.7881,46.6661,34.8537,19.5963,9.34735,6.89029,5.68531,5.00274,4.61011,4.41177,4.36791
1.0,0.0,-0.3664799558127471,74.426,-0.784215,0.00967169,10.7056,10.8338,11.2029,11.8427,12.8053,14.169,16.0449,18.6503,22.2895,27.4396,34.8234,5.0019,2.78282,2.07076,1.7084,1.49978,1.37768,1.31349,1.29478
1.0,0.0,-0.3795825374716227,98.2635,-0.801707,0.00351763,10.8103,10.959,11.4112,12.2237,13.5105,15.4724,18.4673,22.8209,29.3041,45.5884,103.03,3.71698,2.43283,1.8675,1.55854,1.37519,1.26601,1.2077,1.18977
1.0,0.0,-0.008863537717422645,200.708,0.299109,-0.0862809,10.5537,10.5556,10.8979,11.6404,12.9308,15.0927,18.8997,26.7418,55.1271,164.298,95.5604,59.5849,41.9041,32.445,26.9155,23.5059,21.3832,20.1351,19.556
1.0,0.0,-0.012408688561571513,289.176,0.566227,-0.0284913,6.50928,6.57782,6.86227,7.41284,8.34316,9.901,12.6954,18.7166,44.6005,140.139,90.7214,61.47,45.392,36.2775,30.7591,27.3026,25.162,23.9573,23.5024
1.0,0.0,0.018041666108259663,106.396,-0.740718,0.0161298,10.4455,10.6176,11.1023,11.9669,13.3451,15.4843,18.8432,24.2718,33.0722,45.1018,12.3612,4.63544,3.10045,2.40163,2.01501,1.7846,1.64772,1.57575,1.5559
1.0,0.0,-0.018077902000761856,159.285,-0.0286327,-0.0677559,6.18599,6.20715,6.42432,6.87366,7.6402,8.90364,11.0708,15.2444,25.7238,71.4492,54.6884,20.9939,13.2393,9.88756,8.08611,7.02036,6.37394,6.00356,5.84161
1.0,0.0,0.010745962230338845,140.13,-0.456057,0.0383342,8.74254,8.93031,9.40644,10.2478,11.6129,13.8216,17.559,24.4169,37.8836,61.6547,19.8017,9.07156,6.24476,4.90328,4.149,3.69717,3.4304,3.29462,3.2661
1.0,0.0,-0.018742619092334305,137.428,0.308594,0.0266827,3.45825,3.52756,3.71371,4.04883,4.6015,5.51738,7.14293,10.4994,19.977,62.1548,47.3579,18.9785,12.8209,9.98267,8.40433,7.46265,6.90521,6.61646,6.54532
1.0,0.0,-0.017843517346435186,103.003,-0.525733,-0.363747,9.62079,9.27767,9.15514,9.26051,9.68853,10.536,12.0212,14.6989,20.5601,61.3204,46.1499,27.1931,13.7572,8.19933,5.7651,4.50486,3.77525,3.32882,3.05563
1.0,0.0,-0.0016989050591602428,157.058,-0.317739,-0.00198716,7.90643,8.02246,8.39362,9.0805,10.2126,12.0556,15.1958,21.1205,34.3507,68.4041,37.1937,12.754,8.39631,6.44851,5.37944,4.74344,4.36353,4.15909,4.0936
0.0,1.0,-0.7499326919710073,51.2386,-0.828691,-0.11884,9.17892,9.15123,9.27721,9.56274,10.0208,10.6708,11.5374,12.6467,14.0196,15.6625,17.556,19.6492,3.46464,1.75893,1.31743,1.09616,0.97018,0.898219,0.863146
